,mag,time,num_1,scale_1,num_2,scale_2,num_3,scale_3,num_4,scale_4,num_5,scale_5,num_6,scale_6,num_7,scale_7,num_8,scale_8,num_9,scale_9,num_10,scale_10,num_11,scale_11,num_12,scale_12,num_13,scale_13,num_14,scale_14
0,5.6,2013-02-02 11:30:00,28.0,0.2916666666666667,27.0,0.140625,28.0,0.09722222222222222,29.0,0.07552083333333333,37.0,0.07708333333333334,47.0,0.08159722222222222,,,,,,,,,,,,,,,,
1,5.9,2013-03-07 11:30:00,16.0,0.16666666666666666,27.0,0.140625,31.0,0.1076388888888889,29.0,0.07552083333333333,32.0,0.06666666666666667,,,,,,,,,,,,,,,,,,
2,6.2,2013-03-27 10:00:00,4.0,0.041666666666666664,45.0,0.234375,22.0,0.0763888888888889,22.0,0.057291666666666664,22.0,0.04583333333333333,20.0,0.034722222222222224,,,,,,,,,,,,,,,,
3,5.5,2013-03-31 08:45:00,17.0,0.17708333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6.1,2013-04-11 04:15:00,16.0,0.16666666666666666,58.0,0.3020833333333333,15.0,0.052083333333333336,41.0,0.10677083333333333,56.0,0.11666666666666667,48.0,0.08333333333333333,25.0,0.03720238095238095,35.0,0.045572916666666664,7.0,0.008101851851851851,34.0,0.035416666666666666,,,,,,,,
5,6.1,2013-05-21 16:15:00,23.0,0.23958333333333334,22.0,0.11458333333333333,,,,,,,,,,,,,,,,,,,,,,,,
6,5.3,2013-09-04 06:15:00,36.0,0.375,43.0,0.22395833333333334,38.0,0.13194444444444445,34.0,0.08854166666666667,33.0,0.06875,30.0,0.052083333333333336,27.0,0.04017857142857143,,,,,,,,,,,,,,
7,6.8,2013-09-06 19:30:00,33.0,0.34375,27.0,0.140625,,,,,,,,,,,,,,,,,,,,,,,,
8,5.2,2013-10-14 01:15:00,13.0,0.13541666666666666,0.0,0.0,20.0,0.06944444444444445,6.0,0.015625,,,,,,,,,,,,,,,,,,,,
9,5.3,2013-10-30 06:15:00,12.0,0.125,16.0,0.08333333333333333,28.0,0.09722222222222222,19.0,0.049479166666666664,12.0,0.025,13.0,0.022569444444444444,10.0,0.01488095238095238,16.0,0.020833333333333332,17.0,0.019675925925925927,23.0,0.023958333333333335,18.0,0.017045454545454544,42.0,0.036458333333333336,16.0,0.01282051282051282,27.0,0.020089285714285716
10,5.2,2013-11-16 03:30:00,32.0,0.3333333333333333,8.0,0.041666666666666664,11.0,0.03819444444444445,0.0,0.0,,,,,,,,,,,,,,,,,,,,
