,mag,time,num_1,scale_1,num_2,scale_2,num_3,scale_3,num_4,scale_4,num_5,scale_5,num_6,scale_6,num_7,scale_7,num_8,scale_8,num_9,scale_9,num_10,scale_10,num_11,scale_11,num_12,scale_12,num_13,scale_13,num_14,scale_14
0,5.6,2013-02-02 11:30:00,14.0,0.14583333333333334,24.0,0.125,23.0,0.0798611111111111,18.0,0.046875,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
1,5.9,2013-03-07 11:30:00,43.0,0.4479166666666667,27.0,0.140625,29.0,0.10069444444444445,29.0,0.07552083333333333,30.0,0.0625,,,,,,,,,,,,,,,,,,
2,6.2,2013-03-27 10:00:00,40.0,0.4166666666666667,23.0,0.11979166666666667,34.0,0.11805555555555555,36.0,0.09375,39.0,0.08125,31.0,0.05381944444444445,,,,,,,,,,,,,,,,
3,5.5,2013-03-31 08:45:00,34.0,0.3541666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6.1,2013-04-11 04:15:00,66.0,0.6875,74.0,0.3854166666666667,77.0,0.2673611111111111,75.0,0.1953125,70.0,0.14583333333333334,76.0,0.13194444444444445,50.0,0.0744047619047619,56.0,0.07291666666666667,43.0,0.04976851851851852,53.0,0.05520833333333333,,,,,,,,
5,6.1,2013-05-21 16:15:00,46.0,0.4791666666666667,56.0,0.2916666666666667,,,,,,,,,,,,,,,,,,,,,,,,
6,5.3,2013-09-04 06:15:00,13.0,0.13541666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.001736111111111111,0.0,0.0,,,,,,,,,,,,,,
7,6.8,2013-09-06 19:30:00,0.0,0.0,8.0,0.041666666666666664,,,,,,,,,,,,,,,,,,,,,,,,
8,5.2,2013-10-14 01:15:00,42.0,0.4375,31.0,0.16145833333333334,38.0,0.13194444444444445,30.0,0.078125,,,,,,,,,,,,,,,,,,,,
9,5.3,2013-10-30 06:15:00,45.0,0.46875,31.0,0.16145833333333334,48.0,0.16666666666666666,46.0,0.11979166666666667,45.0,0.09375,33.0,0.057291666666666664,33.0,0.049107142857142856,33.0,0.04296875,45.0,0.052083333333333336,41.0,0.042708333333333334,38.0,0.03598484848484849,24.0,0.020833333333333332,41.0,0.032852564102564104,22.0,0.01636904761904762
10,5.2,2013-11-16 03:30:00,51.0,0.53125,44.0,0.22916666666666666,31.0,0.1076388888888889,29.0,0.07552083333333333,,,,,,,,,,,,,,,,,,,,
11,5.8,2014-01-07 02:45:00,18.0,0.1875,30.0,0.15625,29.0,0.10069444444444445,31.0,0.08072916666666667,36.0,0.075,25.0,0.043402777777777776,5.0,0.00744047619047619,25.0,0.032552083333333336,3.0,0.003472222222222222,21.0,0.021875,29.0,0.027462121212121212,5.0,0.004340277777777778,34.0,0.027243589743589744,29.0,0.021577380952380952
12,6.0,2014-01-09 02:15:00,32.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,
